ID,reboundEnergy,absorbedEnergy,impactEnergy,maxForce
MA1,3.085212748580844,46.91478724923743,49.99999999781827,4901.649114600001
MA2,3.3666762910914443,46.63332369341631,49.99999998450775,4705.991224300001
MA3,3.5007202779920377,46.4992797103752,49.999999988367236,4748.4026168
MA4,3.350219053590031,46.64978094600441,49.99999999959444,4860.651435400001
MA5,3.4039486176518494,46.5960513748684,49.99999999252025,4886.6637562000005
TB1,0.7317549411090916,29.268245041477943,29.999999982587035,4207.798734800001
TB2,0.7543006557264214,29.245699333892098,29.99999998961852,4126.6516041
TB3,0.6568729997667049,29.34312696568145,29.999999965448154,4490.5413508
TB4,0.7740316924349244,29.225968275890846,29.99999996832577,4236.9212244
TB5,1.0498360743557313,28.950163919335015,29.999999993690746,4253.320296100001
ZA2,4.056924880091579,45.94307511931636,49.99999999940794,4867.1545156
ZA3,3.329409435616789,46.670590538595285,49.99999997421207,4735.9619416
ZA4,3.5779482754381675,46.422051724205474,49.99999999964364,4885.5327857
ZA5,3.6277277801515098,46.37227220134531,49.99999998149682,4915.503502900001
AS1,3.600711093711759,46.399288905762745,49.999999999474504,5063.943376200001
AS2,2.812790962891711,47.1872090306802,49.99999999357191,4769.8910556
AS3,3.192322205007848,46.807677774257805,49.99999997926565,4951.4118152
AS4,2.970998965831683,47.029001000192125,49.99999996602381,4736.527427
AS5,3.0740633040260903,46.925936646841606,49.999999950867696,4667.5382285000005
